id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,target
186,19.28,0.537,0.1,1.02,-7.77,3.549,2.0,0.9023,25.466,3.2296,5.76,7.1,3.45,5.7,47.9,5.5349,2.967,434634.379,2.5,1.6663,3.0,4.425,0.1995,5.68,-5.05,17.6,0.037,4550.4,3.49,6.3,422.134,1.1,1.2653,4.8,8.186,0.0,1219153.7,18108.031,0.1,3.624,1.3,0.2695,8.6,0.151,2.34,2.8,0.17,584.3629,34.895,95.60,0.544,113.9734,2.21,112.6,42.24,0.6966,7.764,17.05,8.52,2.3,17.356,0.622,5.503,-2.7511,786.701,57.329,38.96,0.3189,-0.6231,0,40.1,0.05,3.1,5.35,12.8,10.29,0.7,2.5341,0.24,0.276,0.407,1.823,2.4602,3.2414,0.24,2.543,0.6,1.36,0.1797,2.023,193.0,5.249,-1.7323,6.0139,6.92,3.4145,5.2006,4.44,0.8,5.7945,6.21,41267.747,1.4883,3.9957,396.90,2.52,0.03,37.4214,9.7254,0.54,15.6953,0.00,1.165,290.3,6.5071,0.10008,992123343.683,9.23,1.039,0.4880,643.8,0.0971,1.8,0.77,7.9988,1.7431,15.5,12.5395,0.754,0.077,1.87,6.5630,1.8,1.9,7.0,3.713,3,8.8316,2.6,4.92,3173556.3,15.9363,0.7,3.4,8.11,17.80,0.225,6.1498,3.47,0.5177,0.4,0.859,5.249,0.676,135.0281,0.22,0.59,1.841,8.55,2.8470,0.077,1.114,7.0239,1.2,0.09,2.4,0.0389,6.53,0.0271,6.01,3.4448,9.7975,40306.811,5.1468,2.460,1.05,0.0301,2532.902,4.856,0.455,0.3,5.66,0.39,6.0,0.572,4.5277,2.88,5.29,41.614,0.7255,5.6409,6.873,8.1,2.55,0.4,8.3241,5.53,0.76,0.04,58891.7841,32.50
187,20.55,0.532,0.0,2.45,4.43,17.497,2.53,0.0982,17.32,3.6759,3.53,5.7,4.6,5.3,43.3,5.1372,10.491,6.131,15.7,1.7263,1.4,5.811,0.4451,3.16,0.64,23.8,0.245,354.0,3.46,3.0,65.7126,8.27,8.1485,1.6,9.7237,0.0902,419299784.7,292992.165,0.1,3.068,2.6,179456.9709,15.4,0.024,2.9,11.6,0.05,0.0229,30.936,24.80,0.287,72.3109,54.89,51.9,4.53,0.8132,10.9135,0.75,-5.87,2.94,16.033,0.463,4.929,8.6053,12.808,3.177,34.71,0.1743,-0.6863,1,2.6,0.19,4.4,4.21,7.1,35.28,17.4,3.1424,0.353,0.876,0.45,192.538,2.8752,4.7884,0.74,1.69,0.8,1.21,0.5373,0.398,198.0,7.242,10.894,2.7361,9.04,1.5632,4.0621,4.471,0.6,1.5538,4.89,955.011,2.3867,3.9249,395.52,4.81,0.09,36.441,5.548,0.13,-9.1325,90.00,1.419,56222.1,6.2668,0.01501,1763670.41,29.12,0.229,0.4010,339.4,2.5532,1.78,0.76,6.1078,9.9817,8.0,-5.3418,0.757,0.122,1.16,7.9230,3.8,3.2,7.9,4.8817,1,4.9517,4.0,5.35,39046.4,3733.1369,0.0,2.0,7.77,13.60,0.12,3.9108,10.24,0.4354,0.2,0.808,3.677,0.634,22939.8474,0.12,1.05,15204.4104,8.07,5.8850,0.31,345.291,8.1639,1.3,0.12,3.9,0.7822,6.6,0.0273,7.32,2.5999,2.0523,3506207110.35,3.7059,1.210,7.91,0.2719,1028.688,4.775,0.501,0.4,4.27,0.36,4.52,0.156,4.3148,3.44,8.03,32.614,13.141,4.4388,7.491,2.4,2.05,0.2,1.8878,5.84,0.76,0.37,4840.9142,50.00
188,22.23,0.203,0.2,20.42,9.27,0.429,2.04,1.1461,2.501,5.0971,3.25,6.6,5.25,5.2,24.8,6.4113,2.315,0.001,1.9,0.7387,2.7,4.794,0.4012,29.55,16.52,24.6,0.047,57.7,5.3,8.8,71.7562,-5.8,4.0489,18.8,6.2173,0.5722,19188.1,8182.538,0.4,3.368,13.3,0.0,2.6,0.122,2.79,9.9,0.23,259732.5732,25.837,9.80,0.67,80.7671,6.7,116.2,1.77,0.479,8.8533,3933616.12,7.84,2.97,13.71,0.22,5.69,3.0021,1.745,1.037,55.03,0.2793,0.4057,0,38.2,0.28,7.8,1.21,7.0,1.5,24.2,6.9972,0.006,0.244,0.339,8.708,1.6492,3.5158,0.59,3.161,0.9,1.31,0.4596,1.415,277.0,5.526,6.3125,3.1961,9.13,2.089,8.0011,4.05,0.7,0.494,2.61,35946.252,2.9621,2.4614,348.93,2.3,0.05,21.2072,-4.5972,0.38,4.9169,0.00,11.44,984961.6,6.4459,0.28955,3634.031,5.88,5.542,0.4890,1.0,1.64,1.73,0.66,9.2912,2.1346,37.0,17.8865,0.803,0.003,1.21,5.4120,74.9,-2.4,5.1,4.6194,4,6.0496,5.6,7.34,0.0,1.1143,0.2,2.3,6.62,18.60,0.189,6.0158,7.2,0.176,0.3,0.932,3.064,0.694,4991455.5367,0.24,0.44,1.6807,1.65,3.5875,0.028,235.385,5.9989,1.3,0.18,5.7,0.1561,6.1,0.1769,7.17,2.2917,7.6469,29.881,3.8936,10.590,1.76,0.6494,21.941,5.158,0.647,0.3,6.07,0.61,3.8,0.56,4.4502,3.91,5.59,32.067,6.3223,5.3292,7.39,5.3,2.21,0.5,-4.0485,5.75,0.99,0.16,42822.2268,23.70
189,12.73,0.225,1.2,3.19,-8.18,17.909,1.51,0.411,20.384,6.1334,4.68,6.6,6.03,7.1,43.6,5.7182,30.162,44583986.914,19.8,2.0578,-0.1,4.447,0.2235,5.91,1.02,46.8,0.454,2003.8,4.47,3.9,41.4499,7.76,-7.8185,1.0,8.4937,0.1909,1212.0,71956096.734,1.0,2.482,2.0,136.1299,1.8,0.023,3.16,8.0,0.31,52490.0923,41.621,91.50,0.738,103.7057,1.05,40.2,115.34,0.8137,5.1834,299623483.83,9.26,2.49,24.011,0.224,4.889,7.182,1.471,54.769,43.02,0.07,2.9911,0,12.7,0.01,2.7,2.83,13.8,1.78,15.1,-2.0312,0.217,0.96,0.25,1.365,6.9722,6.2281,0.47,3.258,0.3,1.78,0.4751,3.544,264.0,4.293,10.4605,4.0576,7.7,0.9564,3.9719,3.292,0.3,1.5664,3.61,83.539,5.2107,5.4114,386.86,1.47,0.01,62.5896,1.2567,0.21,3.9916,20.00,1.034,0.2,7.4589,0.52014,177915.439,598.15,4.979,0.6470,29.8,4.5938,1.76,0.66,4.0263,15.2814,19.1,16.4838,0.649,0.01,4.76,8.3980,1.2,-0.1,7.4,4.0475,5,9.9126,4.7,6.32,2595272.1,0.0131,0.2,2.7,8.98,13.00,0.008,5.987,3.05,0.0359,0.2,0.754,2.608,0.713,3103620.6165,0.32,0.22,4.3363,7.77,2.2885,0.066,4.024,7.2217,8.1,0.53,6.1,0.0055,6.67,0.5165,6.41,3.0393,11.2608,0.025,3.5356,3.970,1.47,0.9178,76.499,6.93,0.949,0.2,2.35,0.3,4.71,0.989,4.7249,3.09,6.85,26.393,4.0008,5.3286,3.016,8.5,2.06,0.3,6.3808,5.84,0.11,0.45,11887.6312,48.80
190,25.96,0.074,0.2,8.18,-2.92,6.494,35.51,0.0532,4.956,2.4539,0.95,7.0,5.96,5.0,34.2,6.6684,1.595,3141.565,2.0,1.6633,-1.0,4.474,0.1227,21.78,6.18,24.1,0.602,134089.9,2.85,7.9,496.7564,9.72,7.0678,-0.9,8.6789,0.3709,245856.2,4896.679,0.4,3.859,1.0,2.97340002079e+14,10.8,0.001,2.36,10.2,0.08,13550.3238,45.134,100.00,0.411,115.705,14.51,78.8,14.34,0.9095,9.9847,0.05,12.05,2.95,14.591,0.928,6.205,10.4482,8.732,1.336,11.92,0.4605,-1.0922,0,1.0,0.38,5.9,1.04,7.1,1.06,25.2,0.8091,0.297,0.941,0.315,7.981,8.0782,2.8734,0.46,1.325,0.3,1.55,0.2685,1.546,666.0,5.244,-2.6909,5.645,9.48,2.5647,7.598,3.666,0.9,4.2972,3.09,0.517,2.9654,3.7425,393.74,1.61,0.29,32.9744,2.8419,0.26,1.7092,0.00,8.078,284891.7,7.0332,17.86670,1200.921,3489.74,5.776,0.6710,1.3,-0.6643,1.78,0.73,7.2728,13.89,11.7,22.8396,0.674,0.196,1.01,6.2230,5.4,0.2,6.8,4.7465,24,9.2456,5.6,3.67,6.3,0.0022,0.4,2.0,11.12,20.20,0.117,2.9341,6.9,0.0532,0.0,0.94,6.104,0.573,3887.003,0.13,0.11,9.9737,1.17,1.3861,0.127,2701.465,6.9968,1.7,0.17,2.8,0.087,5.97,0.3049,5.29,3.014,11.4386,10324.465,6.3201,18.100,1.31,0.2849,3915.409,4.815,0.074,0.1,0.6,0.14,4.63,0.637,4.5556,2.68,7.37,25.523,4.1382,8.0451,4.408,8.9,1.93,0.3,-0.3612,6.14,0.83,0.03,32630.696,10.20
191,23.56,0.35,0.2,1.24,14.72,-1.867,2.03,0.3176,18.79,1.7163,3.07,5.5,5.04,4.3,35.6,5.0679,3.222,0.006,1.3,2.0068,3.7,3.764,0.2043,12.40,11.21,36.2,1.205,1571.0,3.19,5.0,13.4758,-2.91,6.9016,3.5,8.0873,0.0365,1.6,3337412.789,0.2,3.126,4.9,0.0146,5.1,0.008,2.66,7.2,0.24,979479.6247,26.599,65.10,0.922,71.1014,1.81,57.6,4.38,0.8804,10.4415,114.37,15.93,2.37,11.862,0.278,6.181,16.7894,2.038,203.296,31.08,0.391,2.7995,0,9.0,0.31,6.8,1.21,8.5,1.32,26.5,-0.4592,0.392,0.849,0.198,1.604,7.7615,2.3806,0.15,1.635,0.9,1.04,0.9178,0.887,300.0,3.37,12.945,5.2107,11.28,5.3072,5.3213,4.585,1.0,4.3682,5.29,329.624,8.1785,5.3919,394.62,-0.64,0.03,53.2168,23.0034,0.16,-6.6198,30.00,3.164,6.9,4.1588,0.10612,114.093,25.07,5.717,0.4280,38.5,5.0233,1.78,0.58,9.0182,-2.7943,7.5,-6.5958,0.55,0.088,14.98,6.0950,140.3,2.9,7.4,4.4931,6,8.543,1.6,6.93,40896.1,853.7162,0.5,3.1,11.9,16.60,0.065,6.4513,0.28,0.0601,0.1,0.803,3.755,0.223,1242.1511,0.04,0.76,4.1791,1.38,6.3361,0.106,0.068,4.6227,2.4,0.15,7.6,0.1334,7.18,0.7148,2.9,2.602,12.0001,4461.379,5.4363,4.930,2.14,0.0638,2143.685,5.585,0.673,0.2,1.46,0.43,2.45,0.84,5.2924,1.57,7.51,22.283,1.9748,3.1133,8.037,7.3,2.51,0.6,-6.1878,6.49,0.87,0.65,22708.955,20.10
192,21.15,0.765,0.4,1.1,-8.32,18.142,6.97,1.1138,15.2,3.0952,4.83,5.4,4.27,6.1,46.1,3.8853,60.848,0.012,1.7,1.8692,-12.2,4.628,0.185,9.97,-11.94,24.6,0.188,682.4,3.46,5.6,77.976,-6.33,-0.5619,-2.9,6.3893,0.2986,517.0,421180.323,0.3,3.463,1.7,24020632.1962,6.5,0.09,2.51,3.6,0.39,37585.9305,44.744,25.80,0.547,81.2125,1.54,71.9,3.13,0.8526,6.2015,0.01,2.75,2.82,15.504,0.638,5.343,8.4648,2.254,1.085,49.68,0.4969,1.5244,0,1.4,0.27,5.6,2.07,8.8,4.34,35.7,7.4417,0.13,0.283,0.188,5.226,4.8457,5.4158,1.3,4.876,0.9,1.84,0.3592,2.226,430.0,4.373,18.412,7.0748,10.72,0.6615,7.7761,3.644,0.6,6.1361,5.16,251.573,2507.6942,2.0247,382.44,4.36,0.12,43.0556,10.6624,0.07,-0.2596,0.00,4.132,0.1,7.4387,0.06617,2.339,0.19,0.411,0.4600,17000.0,-1.2133,1.34,0.83,4.4355,5.4487,39.6,19.0971,0.639,0.286,2.01,5.8680,12.1,5.2,5.1,4.8299,4,9.4604,3.1,2.25,2791.8,5.6889,1.0,2.1,9.83,16.90,0.18,3.8443,6.78,0.3984,0.0,0.891,3.665,0.96,40986.6496,0.09,0.3,4.8387,1.01,5.2146,0.143,51.188,4.8286,3.2,0.23,2.5,0.0735,6.1,0.7745,6.57,2.6598,7.2628,7.4,6.2059,3.240,1.47,0.3102,105.413,6.714,0.417,0.1,1.06,0.14,6.63,0.852,4.3406,3.46,8.03,13.557,6.8049,8.0348,4.278,7.5,2.5,0.5,-1.7131,7.0,0.07,0.5,12810.2467,19.30
193,16.2,0.0,0.4,2.57,3.47,15.281,1.05,0.1228,13.993,0.5384,3.7,6.5,7.77,3.4,69.1,5.2226,3.151,3.598,3.7,1.75,-13.5,5.748,0.0239,13.44,6.57,24.7,0.102,51.9,2.84,7.1,3.4843,1.53,4.6181,17.8,8.1633,0.0979,72225914.1,0.014,0.9,2.141,2.2,0.0,4.4,0.083,3.24,10.9,0.08,0.0001,19.688,87.40,0.054,56.9342,2.1,50.3,15.68,0.6108,9.5182,4306751.18,19.36,2.32,48.233,0.901,5.711,-0.5238,14.9,6.528,37.11,0.9237,0.9841,0,12.7,0.41,5.9,2.31,11.3,24.67,10.5,5.8459,0.074,0.984,0.234,4.94,6.5692,4.9177,0.4,1.9,0.3,1.75,0.409,0.617,384.0,5.241,-5.1884,4.6179,6.29,2.3645,3.665,1.752,0.5,1.0775,7.01,351.866,3.0364,5.6544,394.47,5.26,0.05,52.0455,3.4777,0.19,17.3514,0.00,1.663,25.8,4.959,0.21161,8498.698,24.21,0.006,0.5200,0.4,0.5746,1.78,0.67,11.0822,-0.8247,28.2,-9.4924,0.589,0.09,2.33,6.1370,1.1,-0.9,7.7,3.9075,5,10.429,3.8,3.05,2362208.8,319429.0794,0.6,2.9,7.65,20.90,0.898,4.4855,13.53,0.3577,0.8,0.937,5.812,0.754,185009.6563,0.28,0.26,4.006,1.1,2.7147,0.249,325.841,6.5041,8.6,0.91,3.0,0.0474,6.32,0.5061,4.42,3.3518,3.0921,1610.909,4.3507,8.560,2.56,0.8201,489.68,6.578,0.702,0.1,0.18,0.78,5.82,0.388,4.3954,2.22,6.73,25.239,0.7793,6.5356,8.075,2.8,2.68,0.2,1.49,5.82,0.5,0.35,31612.2784,19.30
194,34.32,0.301,0.3,3.13,10.11,19.761,3.1,0.0659,8.216,7.528,3.03,5.8,4.93,6.5,37.3,3.663,1.491,23028.162,1.5,1.5219,1.6,3.317,0.0448,6.90,-11.44,49.9,0.848,156.3,5.13,5.2,282.0575,17.04,1.5357,-0.3,8.9222,0.1335,352907.7,53284.734,0.3,4.923,1.0,3.526,8.4,0.051,3.03,8.3,0.13,0.0096,18.782,100.00,0.92,61.5224,7.69,78.2,1.66,0.7992,11.1486,0.0,8.56,2.66,21.396,0.165,6.003,5.9197,1.332,3.543,28.21,0.5915,0.1822,0,1.3,0.72,5.0,48.44,6.3,1.32,33.5,4.09,0.081,0.531,0.242,1.305,2.875,4.6581,0.9,2.575,0.6,1.13,0.801,0.358,264.0,3.294,10.8716,6.4563,4.13,3.5993,4.9467,3.96,0.6,5.2639,2.35,104817.498,717.3286,0.9406,391.93,4.04,0.18,50.0805,-1.5436,0.13,-10.4221,20.00,210.292,9.5,6.8228,0.65665,403.859,0.02,0.025,0.6470,924.1,-1.6413,1.3,0.59,7.1719,9.7348,26.1,16.1567,0.728,0.139,1.47,6.8420,15.3,3.3,7.5,4.4232,5,7.9264,5.3,6.61,708699769.2,0.0184,0.1,2.8,11.25,13.00,0.602,4.553,8.33,0.5378,0.7,0.946,2.991,0.019,1512354.72,0.48,0.53,114.4952,1.09,2.0107,0.011,63.632,8.4236,1.2,0.89,6.9,0.0797,6.89,0.4604,6.21,3.6107,3.6792,1.948,7.124,3.970,4.0,0.6465,2033.781,6.902,0.048,0.2,6.26,0.7,1.52,0.617,4.9054,3.52,5.8,31.11,10.4034,7.5142,5.295,5.7,1.54,0.2,4.7827,6.14,0.03,0.01,410.7062,30.10
195,24.01,0.366,0.2,2.16,-3.63,11.537,1.22,0.3086,13.243,9.8684,1.75,5.4,3.9,3.5,13.0,3.1033,2.692,0.035,1.2,1.9589,2.8,3.234,0.0656,19.52,2.62,10.5,0.079,2180.2,5.54,7.3,1.25,-0.97,5.1908,-2.0,9.7589,0.4777,6529.5,172092.639,0.9,2.375,4.1,0.0,8.5,0.052,2.28,4.5,0.09,13.0809,50.782,97.20,0.011,64.7478,4.08,120.8,188.73,0.2053,7.8653,36214.3,-1.22,2.2,28.927,0.259,5.66,3.7196,3.267,1.196,31.34,0.9893,3.5888,0,75.6,0.6,6.7,9.7,5.8,1.03,7.5,3.9881,0.039,0.778,0.223,1.086,7.4471,3.0265,0.13,1.304,0.2,1.76,0.7883,5.481,666.0,7.221,17.1967,5.7579,12.16,2.5651,4.3169,4.926,0.1,4.998,2.55,56.337,1.3913,2.1284,385.96,3.09,0.12,44.8825,7.6788,0.2,-14.6564,0.00,9.404,27986353.4,5.0253,9.72418,30.805,240.55,0.489,0.7400,20905.5,-0.9362,1.91,0.7,9.8884,-1.1318,21.5,4.7075,0.693,0.007,10.63,6.4060,1.2,0.8,8.1,3.6817,24,7.345,2.1,7.42,0.0,112041811.273,0.5,1.5,19.3,20.20,0.306,4.0678,-3.07,0.5667,0.5,0.768,3.733,0.424,619761514.099,0.22,0.04,27.4256,5.74,2.0651,0.149,7.95,6.2074,1.0,0.0,5.0,0.1379,4.91,0.2435,5.5,3.7138,8.4614,49.643,6.8893,18.100,7.03,0.1771,641.74,4.775,0.986,0.0,0.48,0.97,4.53,0.375,4.8648,3.19,5.21,35.401,7.5129,2.9449,4.528,5.9,2.18,0.4,8.2151,6.85,0.88,0.28,635.1223,17.10
196,14.83,0.358,0.6,1.48,9.12,-5.998,2.14,0.3447,-3.873,0.7103,4.39,6.0,5.86,6.9,43.8,4.5834,4.031,5620199762.66,19.2,1.3611,1.9,3.45,0.1933,7.01,-5.45,59.8,0.404,490.5,3.46,5.8,56.3127,-5.21,7.9728,5.7,9.4465,0.016,1633.2,0.003,0.5,2.444,2.7,0.0015,12.7,0.151,3.1,8.8,0.06,22831774739.1,48.018,77.00,0.881,60.4191,2.56,139.1,56.06,0.6719,9.5711,866604.89,11.08,2.44,17.28,0.789,0.586,3.8921,2.19,397.843,36.58,0.8563,0.5452,0,3.4,0.31,6.7,2.47,11.3,1.35,22.4,2.8258,0.447,0.987,0.416,3.47,8.6437,5.7048,0.12,2.405,0.6,1.26,0.5163,1.613,666.0,4.349,1.3859,2.7805,9.17,1.866,7.5686,1.489,0.1,0.1018,4.66,30686.188,1.2168,1.8722,395.28,4.55,0.31,59.9928,-15.4236,0.31,-4.3164,0.00,2.154,150521.3,5.7104,5.73116,14180.108,10.31,4.418,0.5320,5605.4,3.7103,1.58,0.9,5.1385,2.4177,2.8,16.4037,0.783,0.399,3.12,7.0610,14.9,10.7,6.7,4.7012,24,7.4145,1.3,7.47,42855.1,4115650.9619,0.8,1.1,13.7,20.20,0.199,4.8211,-4.31,0.962,0.0,0.807,4.058,0.584,5996.4603,0.14,0.11,2.7986,4.71,3.4106,0.034,3.743,6.7093,3.0,0.44,3.3,0.0484,6.08,0.9729,6.25,2.9255,9.9675,0.51,6.2495,18.100,1.79,0.9941,1642.617,7.396,0.687,0.7,2.32,0.3,6.12,0.451,4.224,2.19,7.0,29.501,5.1387,5.5664,6.989,7.5,2.42,0.2,0.3967,4.76,0.54,0.23,647.9044,25.00
197,17.06,0.682,0.4,3.27,-3.03,18.666,1.36,0.0336,8.321,3.902,3.01,6.2,5.57,4.3,71.0,3.2778,1.938,6.068,2.1,2.4542,-1.0,2.756,0.2586,12.60,1.69,18.5,1.719,12533.0,5.5,4.0,42.855,-2.72,5.8503,4.8,9.5346,0.1663,217265.9,0.419,0.7,4.458,2.7,0.9515,10.4,0.037,2.35,9.9,0.22,197.9971,52.465,98.90,0.989,56.7807,1.53,75.6,145.5,0.5019,8.4031,0.0,18.1,2.8,27.788,0.129,6.064,-1.749,24.909,13.587,38.43,0.4099,1.516,0,3.0,0.25,5.0,9.64,6.6,6.14,9.6,4.4683,0.15,0.627,0.298,8.895,6.2499,2.743,0.17,1.217,0.5,1.93,0.426,1.678,437.0,3.093,-4.8339,6.7226,3.02,1.4554,7.2013,4.222,0.5,4.0714,0.73,3285.541,2.1631,5.7198,395.04,-1.29,0.15,48.6436,-1.7446,0.21,4.1797,0.00,2.163,0.0,6.6556,0.34006,110293.185,640.3,5.385,0.6240,353.5,0.4983,1.92,0.8,6.7056,6.6787,33.4,-1.4229,0.437,0.134,1.87,6.4580,8.0,2.7,8.5,4.064,4,7.4612,1.5,5.6,2482620.9,183129.8041,0.7,1.6,16.03,21.20,0.058,3.3501,17.34,0.6228,0.2,0.89,2.675,0.534,9225429.7676,0.07,1.01,1.1721,28.72,2.1185,0.174,11501.662,6.1601,1.4,0.52,4.9,0.1046,5.9,0.2802,6.71,3.6169,13.5258,2207.68,7.4223,21.890,2.08,0.4259,462.188,4.308,0.279,0.1,0.19,0.65,6.27,0.372,4.4797,2.81,6.23,29.842,2.2654,8.2611,6.749,8.7,2.02,0.5,-12.2539,5.74,0.93,0.71,191.0387,19.20
198,19.61,0.733,0.2,1.14,-7.21,12.078,1.09,0.5265,6.703,0.9642,4.34,5.4,4.45,6.0,26.7,6.7003,2.918,26.771,1.2,1.6317,11.4,2.967,0.1721,30.62,-13.72,22.4,0.161,24.4,3.69,4.6,279.7478,-2.45,5.29,-3.6,6.9489,0.0151,11443132.0,0.448,0.8,3.935,1.6,0.3779,6.4,0.074,3.11,11.9,0.03,2.9902,104.44,100.00,0.501,104.831,1.16,49.4,153.34,0.5499,7.9761,18.74,20.35,1.96,17.846,0.294,5.283,4.9956,3.581,1.774,27.66,0.9711,2.5933,0,1.7,0.21,2.4,5.39,9.8,10.14,5.9,7.751,0.404,0.978,0.195,3.636,8.5962,3.3408,0.01,2.921,0.9,1.36,0.6868,2.51,666.0,4.132,10.1557,5.8494,8.67,3.758,3.3377,3.396,0.4,5.2263,3.16,65.864,2.9355,1.412,372.92,3.73,0.4,27.1364,2.3171,0.12,-4.7361,0.00,1.576,1726.2,6.8777,14.33370,378.506,192.23,0.385,0.7000,685.0,2.982,1.59,0.4,5.5722,10.4546,8.8,13.4396,0.738,0.009,1.01,4.8800,1.1,4.8,5.9,3.3156,24,10.2289,1.0,7.12,0.0,24709.7877,0.6,6.6,12.13,20.20,0.02,3.19,10.62,0.5852,0.0,0.911,2.549,0.986,90.7751,0.27,0.38,2.0091,2.51,1.5895,0.07,3.987,7.2993,14.6,0.12,2.3,0.0225,6.23,0.1548,3.85,3.0692,10.9034,99.03,6.0742,18.100,1.33,0.1444,980.375,6.068,0.694,1.0,5.87,0.34,1.78,0.946,4.4598,2.86,5.87,29.797,12.4618,4.1206,6.219,3.0,2.83,0.2,8.2796,6.82,0.22,0.77,1281.4287,10.20
199,26.96,0.444,0.1,9.97,-4.81,15.314,1.26,0.3977,11.942,0.8324,2.7,6.6,3.73,5.3,29.1,4.1017,22.574,735.329,1.4,1.0051,-1.9,5.629,0.3645,11.98,10.87,46.3,0.215,615.4,4.12,8.3,55.2909,2.11,3.0428,7.4,9.9544,0.0985,29.8,5.3,0.0,1.769,1.7,3868.3927,6.0,0.101,2.44,7.3,0.15,0.0184,23.987,87.30,0.468,65.7053,1.58,107.9,52.33,0.586,9.0258,48.15,18.21,2.79,19.287,0.294,5.187,8.2819,3.109,1.254,38.95,0.5546,3.3513,0,1.0,0.43,3.4,1.69,6.4,2.93,41.4,8.3674,0.02,0.985,0.276,1.257,3.2639,4.3011,2.79,1.179,0.8,1.15,0.9376,0.574,307.0,5.478,8.3886,5.4717,4.95,1.195,6.928,1.62,0.6,0.6566,3.57,1.708,1.5342,3.8039,380.23,2.59,0.11,42.6947,10.5622,1.37,-10.7797,0.00,4.058,28580.2,5.7352,1.00245,27554.796,1479.91,5.42,0.5380,1633.4,7.1208,1.56,0.53,6.6025,8.6383,16.4,16.6294,0.585,0.108,1.06,6.6740,2.0,-2.4,4.7,4.1121,4,9.2602,5.7,7.19,7262958971.2,42.2947,0.8,2.8,11.87,21.00,0.456,3.8566,-4.18,0.6765,0.1,0.638,2.352,0.926,9829.807,0.17,0.19,1.1087,1.09,4.2390,0.189,412.29,5.8633,2.0,0.31,2.8,0.096,5.86,0.5144,3.56,2.9225,4.4216,16.569,6.3008,8.140,2.36,0.4552,1258.538,3.902,0.414,0.0,5.25,0.49,3.65,0.342,5.5795,3.82,6.08,23.688,4.2155,5.7034,6.119,11.8,2.75,0.5,5.0771,6.53,0.91,0.79,14976.6662,21.00
200,41.12,0.75,0.7,4.88,7.99,16.205,1.83,0.3646,18.179,1.0224,3.08,7.4,5.01,3.8,20.5,3.9786,1.101,3268.651,22.9,1.589,-7.4,4.362,0.0819,18.85,6.46,13.6,0.258,6448.1,8.21,3.7,3.6545,13.52,-0.0905,14.4,9.6827,0.3998,704908007.0,212094.065,0.1,4.704,11.9,0.0,7.0,0.165,2.46,-0.6,0.17,5697738.0132,31.356,100.00,0.267,56.9478,1.44,65.7,15.31,0.683,7.2954,46.12,7.68,2.14,8.94,0.292,0.72,-2.7688,4.557,2.767,35.84,0.9414,1.6464,0,6.0,0.44,6.5,2.09,8.6,1.58,34.3,7.859,0.156,0.956,0.231,1270.025,6.6024,5.1509,0.93,1.261,0.9,1.3,0.8934,1.605,666.0,5.218,4.371,6.3743,7.67,2.1639,4.851,3.68,0.9,4.5087,-1.74,26.27,1.0689,1.7863,386.73,1.78,0.22,61.4153,3.5185,0.06,8.6972,0.00,1.048,0.0,8.3105,9.96654,43832.891,74779.45,0.696,0.7400,332.8,1.8916,1.73,0.69,6.5308,8.8319,18.1,3.8542,0.647,0.014,10.66,6.4850,67.3,-1.4,7.4,4.1827,24,4.8405,4.0,4.65,6320.1,199.7434,0.8,4.4,16.87,20.20,0.805,5.8321,5.96,0.4916,0.0,0.829,2.198,0.737,50298.4091,0.29,1.28,1.6317,6.66,1.9784,0.008,0.093,4.7809,2.3,0.01,4.8,0.1706,5.74,0.698,7.32,2.7944,8.2995,0.447,6.2507,18.100,3.71,0.5024,1195.466,7.269,0.66,2.1,5.98,0.78,3.03,0.832,4.8929,2.15,6.65,31.072,0.4351,4.9268,7.08,6.1,2.26,0.3,14.2114,4.95,0.41,0.84,336080.7255,15.40
